event-id,visible,timestamp,location-long,location-lat,external-temperature,gps:hdop,gps:satellite-count,height-above-ellipsoid,tag-tech-spec,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
32050678974,true,2022-09-07 13:45:08.000,9.90608,46.7997,35.5,3.5,4,2086.95,"4:4","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679393,true,2022-09-07 14:00:02.000,9.90728,46.79931,35.0,1.6,7,2087.66,"7:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679364,true,2022-09-08 09:15:08.000,9.90726,46.79958,23.5,1.6,7,2094.89,"7:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679433,true,2022-09-08 09:30:09.000,9.90732,46.79941,22.0,1.8,5,2094.74,"5:5","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050676823,true,2022-09-08 10:00:02.000,9.87726,46.83179,22.0,2.1,7,1921.8,"7:8","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050676538,true,2022-09-08 10:15:02.000,9.8725,46.82082,26.0,2.7,7,2029.29,"7:8","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050676690,true,2022-09-08 11:00:03.000,9.87427,46.81996,31.0,1.7,7,2117.63,"7:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050676985,true,2022-09-08 11:15:03.000,9.87954,46.81316,29.5,1.9,7,2143.71,"7:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050676783,true,2022-09-08 12:15:03.000,9.87621,46.82318,32.0,1.1,8,2059.53,"8:8","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679638,true,2022-09-08 12:30:07.000,9.9075,46.79928,34.5,2.5,6,2076.54,"6:6","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050677893,true,2022-09-08 13:15:04.000,9.9008,46.80519,31.5,1.1,7,2090.87,"7:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050677378,true,2022-09-08 13:45:06.000,9.88537,46.81183,32.0,1.9,8,2114.0,"8:8","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679353,true,2022-09-08 14:00:09.000,9.90725,46.79955,35.0,1.6,6,2123.39,"6:6","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050676914,true,2022-09-09 09:00:09.000,9.87881,46.8348,30.0,3.8,4,1906.03,"4:4","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679354,true,2022-09-09 09:30:02.000,9.90725,46.79954,34.0,1.9,6,2120.51,"6:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050676790,true,2022-09-09 09:45:02.000,9.87635,46.83034,29.5,1.0,7,1908.81,"7:8","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050676671,true,2022-09-09 10:00:02.000,9.87401,46.81884,28.0,2.8,6,2142.79,"6:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050675254,true,2022-09-09 10:30:05.000,9.86357,46.81675,32.0,2.0,8,1979.84,"8:8","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050677024,true,2022-09-09 10:45:08.000,9.87998,46.83654,32.0,1.5,6,1812.85,"6:6","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050676499,true,2022-09-09 11:00:09.000,9.87228,46.81818,27.0,2.2,5,2138.4,"5:5","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679200,true,2022-09-09 11:15:08.000,9.90695,46.7993,30.0,3.3,6,2092.03,"6:6","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679651,true,2022-09-09 11:30:08.000,9.90752,46.79962,33.5,1.9,5,2092.86,"5:5","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679747,true,2022-09-09 11:45:09.000,9.90764,46.79922,35.0,1.7,6,2093.73,"6:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679381,true,2022-09-09 12:00:02.000,9.90727,46.79903,34.5,1.3,8,2099.77,"8:8","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679740,true,2022-09-09 12:15:05.000,9.90763,46.79914,34.5,1.4,7,2101.56,"7:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679489,true,2022-09-09 12:30:06.000,9.90736,46.7992,35.5,3.2,4,2101.56,"4:4","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
